Source,Target,Type,id,weight,movie_id,from,to
548141,548176,Directed,446,2.0,92,TOM,JAMES
548141,546509,Directed,447,2.0,92,TOM,RICHARD
548141,550025,Directed,448,1.0,92,TOM,WALTER
546784,546509,Directed,449,1.0,92,WAITER,RICHARD
546784,546758,Directed,450,1.0,92,WAITER,SUSAN
550025,548133,Directed,451,1.0,92,WALTER,DOUGLAS
549013,549040,Directed,452,1.0,92,WIFE,POLICE OFFICER
546071,545943,Directed,453,1.0,92,YASIRA,HASSAN
546071,547340,Directed,454,1.0,92,YASIRA,ZORA
547107,547015,Directed,455,1.0,92,YASUJIRO,CHIEKO
547221,547015,Directed,456,1.0,92,YOUNG MAN,CHIEKO
546138,545977,Directed,457,5.0,92,YUSSEF,ABDULLAH
546138,546020,Directed,458,5.0,92,YUSSEF,AHMED
546138,549040,Directed,459,1.0,92,YUSSEF,POLICE OFFICER
546138,546071,Directed,460,2.0,92,YUSSEF,YASIRA
546138,547340,Directed,461,2.0,92,YUSSEF,ZORA
